Case ID;CSAT Rated Group Name;Group Name History;RESOLUTION GROUPS;RESOLUTION GROUPS BUCKETS;RESOLUTION TIME (Days);RESOLVED IN SLA;ISSUE CLASSIFICATION;FIRST TOUCH RESOLUTION;CSAT Rating Received;CLASSIFICATION;Start of Month
5008W00000zeAqxQAE;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,2;1;Payments :: Availability;0;3;DETRACTOR;1/1/2023 00:00
5008W00000zeRFcQAM;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,3;1;Payments :: Other;1;5;PROMOTER;1/1/2023 00:00
5008W00000zeW9AQAU;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Payments :: Availability;0;2;DETRACTOR;1/1/2023 00:00
5008W00000zf3T4QAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,6;1;Payments :: Dispute;0;4;PROMOTER;1/1/2023 00:00
5008W00000zf4iYQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Account General :: Login;0;1;DETRACTOR;1/1/2023 00:00
5008W00000zf4zaQAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Checkout :: General Capabilities;1;5;PROMOTER;1/1/2023 00:00
5008W00000zfAgjQAE;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Payouts :: Debits and Negative Balances;1;5;PROMOTER;1/1/2023 00:00
5008W00000zffbFQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Declines and Payment Statuses;0;5;PROMOTER;1/1/2023 00:00
5008W00000zfgkNQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;End User Queries :: ;1;4;PROMOTER;1/1/2023 00:00
5008W00000zfPTZQA2;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Payments :: Other;1;2;DETRACTOR;1/1/2023 00:00
5008W00000zfTJdQAM;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Connect Accounts :: Other;1;5;PROMOTER;1/1/2023 00:00
5008W00000zfwo8QAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;3,6;0;End User Queries :: ;1;1;DETRACTOR;1/1/2023 00:00
5008W00000zg0pLQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;3,3;0;Payouts :: Pricing;0;3;DETRACTOR;1/1/2023 00:00
5008W00000zg3SaQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Invoices :: Update an invoice;1;5;PROMOTER;1/1/2023 00:00
5008W00000zg7PqQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,3;1;Payments :: Other;1;4;PROMOTER;1/1/2023 00:00
5008W00000zg8RxQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payouts :: Payout Status;0;5;PROMOTER;1/1/2023 00:00
5008W00000zg9GOQAY;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Invoices :: Create link for payment;1;5;PROMOTER;1/1/2023 00:00
5008W00000zggB2QAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Availability;1;5;PROMOTER;1/1/2023 00:00
5008W00000zgTURQA2;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payments :: Declines and Payment Statuses;1;4;PROMOTER;1/2/2023 00:00
5008W000010MkhdQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Other :: Other;0;5;PROMOTER;1/1/2023 00:00
5008W000010MzYvQAK;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Other;1;5;PROMOTER;1/1/2023 00:00
5008W000010NHoXQAW;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Connect Accounts :: Account Capabilities;0;5;PROMOTER;1/1/2023 00:00
5008W000010NIomQAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,3;1;Account Onboarding :: Entity and Identity Data;1;2;DETRACTOR;1/1/2023 00:00
5008W000010NJWAQA4;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,3;1;Financial Reports :: Report comparisons;1;5;PROMOTER;1/1/2023 00:00
5008W000010NMebQAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Connect Fund Flows :: General Capabilities;1;5;PROMOTER;1/1/2023 00:00
5008W000010NuWFQA0;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,7;1;Billing :: Subscriptions;0;5;PROMOTER;1/2/2023 00:00
5008W000010Oaw3QAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Availability;1;3;DETRACTOR;1/1/2023 00:00
5008W000010OIeIQAW;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Billing :: Customer Updates;1;5;PROMOTER;1/1/2023 00:00
5008W000010Ou15QAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Other;0;2;DETRACTOR;1/1/2023 00:00
